epoch,clf_accuracy,clf_loss,loss,lr,seg_accuracy,seg_loss,val_clf_accuracy,val_clf_loss,val_loss,val_seg_accuracy,val_seg_loss
0,0.717,0.5571244,0.5573318988084793,5e-05,0.8922565,-0.0020753653,0.5533333420753479,0.7135631442070007,0.7317274212837219,0.9069935083389282,-0.0024010695051401854
1,0.73,0.55287987,0.5530947670340538,5e-05,0.8973977,-0.0021492701,0.5519999861717224,0.8333843946456909,0.8211182355880737,0.9049424529075623,-0.002513607032597065
2,0.74,0.5441118,0.544314581155777,5e-05,0.8884737,-0.0020275675,0.5653333067893982,0.680419385433197,0.6800377368927002,0.904316782951355,-0.00223299372009933
3,0.724,0.54636467,0.5465776056051255,5e-05,0.8974456,-0.0021292253,0.5653333067893982,0.6940142512321472,0.6722978353500366,0.9076263308525085,-0.0023854661267250776
4,0.733,0.5375322,0.5377224177122116,5e-05,0.89565885,-0.001902519,0.5493333339691162,0.7630110383033752,0.8369883894920349,0.9053667187690735,-0.002327962312847376
5,0.735,0.53707546,0.5372686505317688,5e-05,0.8906293,-0.0019315099,0.4946666657924652,0.711247980594635,0.710276186466217,0.906584620475769,-0.0021989322267472744
6,0.737,0.51939946,0.5195931807160378,5e-05,0.8939454,-0.0019367163,0.47600001096725464,0.7703140377998352,0.78839111328125,0.9050489068031311,-0.0020920538809150457
7,0.721,0.5452868,0.5454792976379395,5e-05,0.8942392,-0.0019259567,0.4480000138282776,0.7428640127182007,0.7834663987159729,0.9068988561630249,-0.00217034830711782
8,0.741,0.5276745,0.5278645947575569,5e-05,0.89505786,-0.0019004125,0.562666654586792,0.6843687891960144,0.6587652564048767,0.9059533476829529,-0.002174115041270852
9,0.748,0.52431446,0.5245014443993569,5e-05,0.8883589,-0.0018699903,0.5546666383743286,0.7434900403022766,0.7021573185920715,0.905990481376648,-0.0021357417572289705
10,0.732,0.5323462,0.5325255021452904,5e-05,0.89992714,-0.0017927,0.5786666870117188,0.6863488554954529,0.7234035134315491,0.9046862721443176,-0.002172724809497595
11,0.73,0.53742015,0.5376027464866638,5e-05,0.8919805,-0.0018263267,0.5559999942779541,0.7164279818534851,0.7736472487449646,0.9072567820549011,-0.002131771296262741
12,0.755,0.5193974,0.519577844440937,5e-05,0.8929237,-0.0018051151,0.47200000286102295,0.8098776340484619,0.8382329940795898,0.9061168432235718,-0.0020086343865841627
13,0.755,0.5184878,0.5186714261770249,5e-05,0.89554596,-0.0018367062,0.46666666865348816,0.9283857941627502,0.9065353274345398,0.9058249592781067,-0.00200632750056684
14,0.739,0.5187319,0.5189137071371078,5e-05,0.8913909,-0.001818105,0.5453333258628845,0.9266752600669861,0.9129334092140198,0.9054049253463745,-0.002003115601837635
15,0.752,0.52024937,0.5204320758581161,5e-05,0.8954218,-0.0018274144,0.5559999942779541,0.7597705125808716,0.826213538646698,0.9065355658531189,-0.002063541440293193
16,0.744,0.5028011,0.50297761708498,5e-05,0.8921954,-0.0017650438,0.562666654586792,1.0674550533294678,0.953783392906189,0.9071942567825317,-0.002128226449713111
17,0.729,0.51908624,0.519264517724514,5e-05,0.8913116,-0.0017830034,0.5533333420753479,1.3076797723770142,1.3408279418945312,0.9047405123710632,-0.002001584740355611
18,0.776,0.4904799,0.49065399169921875,5e-05,0.89597934,-0.0017412517,0.5493333339691162,1.4354501962661743,1.5074059963226318,0.9073988199234009,-0.002103026257827878
19,0.774,0.49356252,0.4937421053647995,1.67e-05,0.893604,-0.0017963449,0.5346666574478149,1.5440548658370972,1.5072158575057983,0.9045385718345642,-0.0021252187434583902
